time,steps,sleep,heartrate
2021-01-08,5932.243351,69,1316.712937615348
2021-01-09,7003.397375,467,2045.9699008759692
2021-01-10,6840.092986,389,1910.447114820029
2021-01-11,8385.085321999999,402,2003.6814269505494
2021-01-12,6103.825638,386,1953.55271066674
2021-01-13,7597.59994,371,1954.9148266437032
2021-01-14,7467.2433759,471,1969.5374930326961
2021-01-15,7128.429644,371,1943.8600491755626
2021-01-16,8355.674742000001,293,1958.455487511696
2021-01-17,5691.9764747,373,1882.7297702748256
2021-01-18,7388.1333079999995,413,1857.0137458776635
2021-01-19,11357.513617,347,2769.3357099786845
2021-01-20,20097.476462,848,3980.1569734969057
2021-01-21,19609.7074322,810,4103.4510477287695
2021-01-22,15437.7388,925,3976.567030390067
2021-01-23,11808.2933161,761,3781.4343957557653
2021-01-24,10689.020263999999,971,3817.3558706473086
2021-01-25,18509.473368000003,1018,4120.554454076812
2021-01-26,16109.197769,794,3896.9130113103656
2021-01-27,14018.641092,982,3859.814266323
2021-01-28,15804.274748,673,3832.1479520012635
2021-01-29,11152.785566999999,721,3739.032290568535
2021-01-30,9493.232248,873,3827.433004891332
2021-01-31,12083.8848984,1024,3721.9657126658544
2021-02-01,15813.922922,951,3910.9251024338737
2021-02-02,18491.819546,1090,4736.500603008313
2021-02-03,17882.224712,1381,5583.042726969004
2021-02-04,20176.7714218,1628,5747.405428033438
2021-02-05,35142.4461269,1449,7815.536010548269
2021-02-06,36203.214691,2502,8876.372383998829
2021-02-07,28708.5877635,2464,8822.79321511887
2021-02-08,48428.106395,2301,9097.332557487953
2021-02-09,42747.044699,2510,10039.875690899411
2021-02-10,54534.8208401,2909,11059.712822553045
2021-02-11,52696.288569000004,2972,10864.996410651383
2021-02-12,49856.6203706,2864,11046.043137142371
2021-02-13,48931.9026246,3604,11628.398206969603
2021-02-14,57964.6817893,3727,12951.723173200615
2021-02-15,71500.395849,3426,13181.171097823233
2021-02-16,60327.4867479,3314,13091.95120298674
2021-02-17,65563.046492,3394,13123.89927604403
2021-02-18,77710.4051625,3729,14261.60769685412
2021-02-19,85155.7998079,3840,15262.303920513454
2021-02-20,69844.5308687,3780,14585.705569888662
2021-02-21,72732.0713449,3530,14630.860423285074
2021-02-22,81059.436894,3876,14805.7869253734
2021-02-23,88268.3850425,3278,14857.49456366908
2021-02-24,79405.7384341,4042,14982.353271135244
2021-02-25,86881.436053,3621,14476.810319295319
2021-02-26,83747.8102461,3191,14422.55009731695
2021-02-27,71327.5593329,4364,14691.515745739502
2021-02-28,64394.795147,4412,14497.691107816523
2021-03-01,67231.2911235,3357,12455.82101854129
2021-03-02,72414.8215834,3074,12057.541516141995
2021-03-03,69393.405465,3590,12793.264319730199
2021-03-04,68553.3020949,3753,13417.630203507368
2021-03-05,72586.7046796,3493,13088.251516173286
2021-03-06,60388.5208374,3892,13725.975194192408
2021-03-07,70567.9824454,4012,12999.16136854472
2021-03-08,78209.2213088,3900,13836.300035831486
2021-03-09,71696.0106208,4336,14605.003317720139
2021-03-10,80759.1216975,4426,16359.232567027415
2021-03-11,78222.0633376,3676,16535.2744447948
2021-03-12,92478.488003,3727,16775.47885836464
2021-03-13,84578.0807039,4594,17142.857135665494
2021-03-14,82630.7527205,5252,16879.441550337426
2021-03-15,86192.368197,4373,17404.565681836215
2021-03-16,69722.004045,3752,13698.259568360854
2021-03-17,75767.1121,3454,14937.058843794306
2021-03-18,83552.967901,4106,15136.4136039863
2021-03-19,76307.1305417,3830,15153.870988571724
2021-03-20,66296.4097448,4453,15208.560632798371
2021-03-21,66297.20982820001,4870,14821.397829316618
2021-03-22,74176.791424,4541,15198.730637646348
2021-03-23,87511.3971526,3785,15476.542076222442
2021-03-24,114283.69803099999,4602,18517.197132697147
2021-03-25,106239.831512,4401,18270.058902679615
2021-03-26,96391.709966,4227,17221.379774630142
2021-03-27,93457.357012,5072,18699.63983989096
2021-03-28,100315.9159133,5822,18324.09774133972
2021-03-29,96936.4007876,4439,18253.138033749736
2021-03-30,99381.0799041,3823,17582.600352201323
2021-03-31,97223.2849276,4957,19004.27279397189
2021-04-01,101884.502223,4181,17134.878417704138
2021-04-02,99260.85842399999,4614,16436.949979091827
2021-04-03,69721.838313,2618,11026.506669400866
2021-04-04,65543.5048123,2881,10530.712815751715
2021-04-05,47839.918752,3499,10726.041119195836
2021-04-06,56011.1579482,2886,11958.610408060113
2021-04-07,59316.757202,2166,10969.82735798605
2021-04-08,68621.5002248,2576,11262.801357336457
2021-04-09,76969.4758449,3307,12846.333775887262
2021-04-10,76248.897392,3129,13124.789003895383
2021-04-11,80993.173869,3750,13128.659667279844
2021-04-12,59175.4573625,4029,12882.352663600403
2021-04-13,67728.464955,3167,13420.682422517255
2021-04-14,75164.265595,3469,14847.192917205331
2021-04-15,90805.5561259,3268,14750.054793825839
2021-04-16,72730.35417,2715,13508.309162668602
2021-04-17,100079.1725337,2652,14707.481140617234
2021-04-18,63656.1272,3312,14333.334313008412
2021-04-19,78482.5408941,3014,13918.05650184593
2021-04-20,86761.4370456,1994,13241.334037283774
2021-04-21,100031.644716,2495,14919.80882916662
2021-04-22,91863.277995,2495,16261.328439053426
2021-04-23,100928.9704463,3064,16341.947294979302
2021-04-24,99300.179488,2941,15817.952456902143
2021-04-25,99932.504393,3590,15686.1776751444
2021-04-26,84007.4330065,3254,15228.74170488118
2021-04-27,101238.854222,3512,16380.67220862085
2021-04-28,84503.6791516,3156,17217.752988769982
2021-04-29,81402.5990783,4218,18889.809327189214
2021-04-30,95703.4939583,4355,19369.864381138577
2021-05-01,61192.255427,4693,18527.0386141316
2021-05-02,61391.595997,4858,18727.637681901426
2021-05-03,90993.9103818,4373,19045.195091831552
2021-05-04,96810.4070584,5449,21672.237535573877
2021-05-05,91468.5615285,5501,22944.954469911736
2021-05-06,99239.3870137,5252,20621.116392753902
2021-05-07,87010.0017263,4663,20199.362129071185
2021-05-08,95979.84809289999,4757,20424.138200653044
2021-05-09,90984.9080675,5293,20482.81142984695
2021-05-10,96073.8012954,4706,20766.151305253283
2021-05-11,83830.9061902,4737,19243.542053513847
2021-05-12,88046.3255522,5355,20609.710271331613
2021-05-13,61574.1948043,5552,19870.59863679327
2021-05-14,87767.5560094,4610,20032.1857472008
2021-05-15,74521.5097252,4859,18698.581157170105
2021-05-16,74523.924575,5265,19893.644762757292
2021-05-17,92707.2491439,4931,19519.38673251894
2021-05-18,105503.5235953,4925,20769.852018983038
2021-05-19,87262.4274637,4385,19022.389064944775
2021-05-20,76640.0431643,4222,18484.342136500392
2021-05-21,86659.1899423,3630,18006.864232268472
2021-05-22,82427.1317726,3812,16883.812483810896
2021-05-23,84284.867431,3653,17066.44824511473
2021-05-24,58013.0824148,4542,15418.609206521061
2021-05-25,69745.6498329,3846,16700.109261510497
2021-05-26,84338.819575,3111,17994.175457230853
2021-05-27,61677.873469,3429,16354.826137121543
2021-05-28,89681.2881238,3460,17756.505775476297
2021-05-29,67525.0992574,4310,17985.365108481008
2021-05-30,94252.1735359,4585,18141.100003224557
2021-05-31,107824.940408,3894,17519.39885286112
2021-06-01,85709.106804,4073,19959.262869191694
2021-06-02,95438.7356726,5222,21134.902885648153
2021-06-03,87181.4649194,4712,19355.749718918883
2021-06-04,87475.0784853,4624,20572.822608269747
2021-06-05,99990.1198616,5020,20344.617459855588
2021-06-06,63938.4182279,5339,19500.60826474731
2021-06-07,84133.7114751,3908,18922.81262347071
2021-06-08,66729.129464,4763,19676.014735836823
2021-06-09,88405.2126907,4915,22412.628525422908
2021-06-10,73622.1469622,5152,21662.83109338711
2021-06-11,89911.3381141,4395,20786.018490081457
2021-06-12,65656.58077896001,4708,20569.53650407802
2021-06-13,64858.8495221,5229,19150.992150086913
2021-06-14,63946.347903,4257,17327.078773069814
2021-06-15,75200.0029315,4144,19773.335267834223
2021-06-16,75663.7593139,3875,19148.398405353066
2021-06-17,81966.1480417,3973,20151.677064391904
2021-06-18,62924.7409486,4172,19453.68216604454
2021-06-19,57030.4994404,2945,17877.996087789285
2021-06-20,57857.1250554,3150,16999.78063222313
2021-06-21,76260.2530555,3462,18631.375756101726
2021-06-22,85202.981081,4103,18936.449325746
2021-06-23,67888.833251,3040,17578.59691753011
2021-06-24,51136.2171511,3657,17120.098952374217
2021-06-25,77682.711429,2885,17271.34967297576
2021-06-26,56864.9983982,3243,16883.170638962947
2021-06-27,46504.9508702,3179,15195.305757634389
2021-06-28,56156.8026252,2801,15622.914546110556
2021-06-29,46473.686333,2752,13958.95149485643
2021-06-30,45416.3889234,2465,15376.664515874216
2021-07-01,50633.442613,2733,14692.522693406141
2021-07-02,46084.489662,2565,13823.411626275512
2021-07-03,37010.2197915,3063,12909.496282935841
2021-07-04,26086.978075,2757,13493.43814461499
2021-07-05,47286.26199,2089,12822.557189886013
2021-07-06,56480.02584,2417,15467.925300461548
2021-07-07,40164.5324719,3280,15821.131647988275
2021-07-08,44447.0785642,3086,15681.862809037737
2021-07-09,42164.0021376,2731,14362.376364455862
2021-07-10,29443.0668472,3732,15136.622467253184
2021-07-11,21081.9089,2765,14236.216748120816
2021-07-12,36008.0209048,3285,15659.875039796458
2021-07-13,30689.6223624,2543,11763.587066754186
2021-07-14,26142.0626762,3292,11687.764919244111
2021-07-15,34394.9618246,3458,13206.023683650761
2021-07-16,44744.037013,2616,14296.347022539352
2021-07-17,29487.506192,3151,13856.317653880504
2021-07-18,25867.6820769,3502,14323.216467736198
2021-07-19,45011.0344013,2588,15575.993172938513
2021-07-20,22280.7787449,3336,13723.348722459428
2021-07-21,26107.5463687,3285,14402.234529875774
2021-07-22,37062.754868,3238,14665.041786280963
2021-07-23,31540.43913,2936,14590.513792766025
2021-07-24,22551.001036,3493,13730.79059110555
2021-07-25,24116.1716424,3780,14131.35527464191
2021-07-26,29038.4591201,3002,14431.798427391766
2021-07-27,26866.948859,2653,14538.77981010006
2021-07-28,34802.8366037,3422,15214.487636404814
2021-07-29,38192.248344,3183,13454.409287717328
2021-07-30,32428.652921,2971,13231.91845338436
2021-07-31,26069.8932868,2933,13912.26719232251
2021-08-01,18556.547021,2369,12967.386239803354
2021-08-02,34566.061237,3695,13964.187408521606
2021-08-03,26893.428956,2121,10885.26395890098
2021-08-04,20473.862374,2928,9653.905891535913
2021-08-05,28314.9813126,2399,9384.481741186468
2021-08-06,16562.06111,2036,9204.785819563853
2021-08-07,17376.420751999998,2438,9666.668501409267
2021-08-08,14644.357245,2106,8307.425007349699
2021-08-09,19478.257657,1298,7279.529955761417
2021-08-10,17302.1784274,2031,6933.567773097754
2021-08-11,24486.3787549,1807,7733.5132939961595
2021-08-12,19262.238992,1563,7688.797674970881
2021-08-13,23044.238177,1878,7754.520446236449
2021-08-14,19624.143684,1785,7822.09469498386
2021-08-15,23920.93593,2275,7351.819661422249
2021-08-16,18405.1218215,1922,7598.825424809685
2021-08-17,21752.197060399998,1809,7695.228541755878
2021-08-18,24594.1819919,1816,7578.6647573150485
2021-08-19,33633.636737299996,1905,8931.055466203543
2021-08-20,38404.303175,2550,9035.854670623423
2021-08-21,30845.506734,2279,9403.382611565832
2021-08-22,24273.631358,2505,8912.054528901213
2021-08-23,33002.8601493,2677,9897.356640152384
2021-08-24,36131.2789837,2902,11016.44775148348
2021-08-25,33643.586952,2900,11150.236158583086
2021-08-26,39477.174764,3043,11098.74278822314
2021-08-27,40116.083029,2777,10990.493579251535
2021-08-28,21575.6704356,2967,10714.122874276465
2021-08-29,27934.568466,2967,10528.007681982805
2021-08-30,29438.8936634,2708,10306.704649234178
2021-08-31,38953.9472158,2751,10217.25789041248
2021-09-01,38265.3470504,3074,11329.902079579428
2021-09-02,48591.2709623,3242,13636.825671906856
2021-09-03,56805.0348226,4161,15262.477996107244
2021-09-04,50503.171703,3511,14723.178130651444
2021-09-05,46536.3473982,3479,13636.869258773575
2021-09-06,56542.569291499996,4222,14926.779530679232
2021-09-07,57010.9059808,4123,15224.745220273344
2021-09-08,65476.6008359,4133,16204.844371166828
2021-09-09,74837.876808,4294,16406.648802377706
2021-09-10,70929.1033013,3486,15218.102625662346
2021-09-11,54664.687727000004,3267,13645.291062806786
2021-09-12,43771.6691567,4573,14384.41237402097
2021-09-13,57101.182155,4025,14682.735997523101
2021-09-14,66911.8092948,4117,16954.746425846904
2021-09-15,88247.7739898,4467,19452.033209804187
2021-09-16,74546.3606379,4777,20246.981066215827
2021-09-17,76785.450299,4883,20045.674004229644
2021-09-18,64293.442689999996,4202,19322.54517774015
2021-09-19,44847.4857771,5816,18907.593759053925
2021-09-20,71854.302138,4444,16691.52377348588
2021-09-21,66395.9390807,4362,16771.705976859335
2021-09-22,70322.2345955,4327,16922.633859075228
2021-09-23,74417.6605365,4256,17559.25811130996
2021-09-24,76171.93554020001,4171,18341.1344615588
2021-09-25,71638.2316071,4439,17948.282969846692
2021-09-26,56510.7044497,5345,17924.633500169628
2021-09-27,81477.8084912,4340,18944.603267040282
2021-09-28,88978.0166807,5183,19961.609230220856
2021-09-29,86192.8172296,5550,18854.203332813788
2021-09-30,90299.3315694,5165,19908.81947948091
2021-10-01,100186.8685104,4597,20725.25152129688
2021-10-02,84456.845933,5917,20251.726642006844
2021-10-03,75372.2240248,5623,19266.875063784544
2021-10-04,85728.7057,5178,20544.68647919476
2021-10-05,89370.5118579,5123,20130.251941677485
2021-10-06,63638.3690899,5185,18223.046595533877
2021-10-07,63852.2107345,4817,17524.262807638246
2021-10-08,70322.9855041,4661,18429.481806705633
2021-10-09,73596.7352225,4664,18201.186220302003
2021-10-10,48773.3856926,4714,15498.567326090868
2021-10-11,56523.237975,4151,15166.37639479355
2021-10-12,62208.757663,3819,14840.346010832842
2021-10-13,56503.359746,4303,14643.187159927402
2021-10-14,49217.4435826,3598,13612.038520215656
2021-10-15,51159.8877172,4175,14620.353419225574
2021-10-16,55867.4938676,3728,14601.74550597692
2021-10-17,46431.227106,4127,14128.747119480568
2021-10-18,47342.400169,3413,14373.348112691783
2021-10-19,56331.7878491,3587,14657.750346450237
2021-10-20,47120.7277484,3486,14114.809025376411
2021-10-21,37337.1452909,3582,12989.05479902205
2021-10-22,45074.628466,3135,12637.315263372177
2021-10-23,55342.077372,3543,14223.59495978679
2021-10-24,55809.278929,4053,14946.022995290914
2021-10-25,57534.467927,3832,14722.8071837378
2021-10-26,48244.6873003,3317,14731.851738736375
2021-10-27,54127.923978,2575,13005.19655862147
2021-10-28,47054.4327952,3304,12663.146647153913
2021-10-29,45073.8211697,3089,12250.114597133519
2021-10-30,40833.566436,2629,12233.188659831188
2021-10-31,40387.768754,3421,12784.11644857927
2021-11-01,32778.723107,3440,12327.386709374849
2021-11-02,42662.554619,2848,13086.335879378517
2021-11-03,34381.5162161,2477,10597.780904409256
2021-11-04,30477.8973216,2855,10980.282246784509
2021-11-05,36549.3034242,2965,11305.730363453817
2021-11-06,40778.348668,2810,11275.170534353389
2021-11-07,32644.476735,1989,8545.87417748609
2021-11-08,22618.010793,1702,7012.506084010452
2021-11-09,19068.0733271,1240,6221.1252143547235
2021-11-10,14297.449809,1382,6108.476976259915
2021-11-11,22363.031757,1286,6248.222348313844
2021-11-12,17341.170652,1422,6067.343978697605
2021-11-13,11198.715096,847,3883.3571571588946
2021-11-14,10526.533597,923,3619.4068114030592
